ID,FIRSTNAME,LASTNAME,EMAIL,PHONE,ADDRESS,CITY,STATE,ZIPCODE,COUNTRY,CREATED_AT,QUOTATIONID,STATUS
1,John,Doe,john.doe@example.com,1234567890,123 Elm St,Springfield,IL,62704,USA,01-01-2023,QT-102030,
2,Jane,Smith,jane.smith@example.com,2345678901,456 Oak Ave,Dallas,TX,75201,USA,03-01-2023,QT-102030,
3,Michael,Johnson,m.johnson@example.com,3456789012,789 Pine Rd,Miami,FL,33101,USA,05-01-2023,,
4,Emily,Brown,emily.brown@example.com,4567890123,321 Maple St,Seattle,WA,98101,USA,07-01-2023,,
5,David,Jones,david.jones@example.com,5678901234,654 Birch Ln,Denver,CO,80201,USA,09-01-2023,,
6,Laura,Miller,laura.miller@example.com,6789012345,987 Cedar Blvd,Atlanta,GA,30301,USA,11-01-2023,,
7,James,Davis,james.davis@example.com,7890123456,159 Walnut Way,Boston,MA,2101,USA,13-01-2023,,
8,Olivia,Garcia,olivia.garcia@example.com,8901234567,753 Chestnut Cir,Chicago,IL,60601,USA,15-01-2023,,
9,Liam,Martinez,liam.martinez@example.com,9012345678,357 Redwood Dr,Portland,OR,97201,USA,17-01-2023,,
10,Ava,Rodriguez,ava.rodriguez@example.com,123456789,951 Sequoia St,Phoenix,AZ,85001,USA,19-01-2023,,
11,Ethan,Lee,ethan.lee@example.com,1234567800,111 Ash Ave,Charlotte,NC,28201,USA,21-01-2023,,
12,Isabella,Walker,isabella.walker@example.com,2345678900,222 Hickory Ct,Austin,TX,73301,USA,23-01-2023,,
13,Noah,Hall,noah.hall@example.com,3456789000,333 Sycamore Ln,Detroit,MI,48201,USA,25-01-2023,,
14,Sophia,Allen,sophia.allen@example.com,4567890000,444 Willow Rd,Columbus,OH,43004,USA,27-01-2023,,
15,Logan,Young,logan.young@example.com,5678900000,555 Poplar St,Las Vegas,NV,89101,USA,29-01-2023,,
16,Mia,Hernandez,mia.hernandez@example.com,6789000000,666 Beech Blvd,Minneapolis,MN,55401,USA,31-01-2023,,
17,Benjamin,King,ben.king@example.com,7890000000,777 Magnolia Ave,Tampa,FL,33601,USA,02-02-2023,,
18,Charlotte,Wright,charlotte.wright@example.com,8900000000,888 Cypress Cir,San Diego,CA,92101,USA,04-02-2023,,
19,William,Scott,william.scott@example.com,9000000000,999 Dogwood Dr,Nashville,TN,37201,USA,06-02-2023,,
20,Amelia,Green,amelia.green@example.com,110000000,1010 Laurel Ln,Kansas City,MO,64101,USA,08-02-2023,,
